engine,box_position,code,runtime_min
nll_beta,0,6T80,2.358333
nll_beta,0,6TCT,1.89
nll_beta,0,6TT5,1.71
nll_beta,0,6TWJ,3.116667
nll_beta,0,6U2D,0.58
nll_beta,0,6U75,0.69
nll_beta,0,6UB7,0.615
nll_beta,0,6V7M,0.76
nll_beta,0,6VD8,0.551667
nll_beta,0,6VHI,0.26
nll_beta,0,6VPT,0.748333
nll_beta,0,6VS7,2.676667
nll_beta,0,6W9K,2.163333
nll_beta,0,6WT6,0.543333
nll_beta,0,6XZ6,0.773333
nll_beta,0,6YFV,1.228333
nll_beta,0,6Z1S,0.955
nll_beta,0,6Z3U,1.235
nll_beta,0,6ZH1,0.601667
nll_beta,0,6ZUW,1.066667
nll_beta,0,7AUI,1.035
nll_beta,0,7BV5,2.886667
nll_beta,0,7BW1,0.515
nll_beta,0,7C7E,0.926667
nll_beta,0,7CFD,4.575
nll_beta,0,7CWW,1.675
nll_beta,0,7D86,0.833333
nll_beta,0,7DUF,0.273333
nll_beta,0,7E2E,1.183333
nll_beta,0,7EWF,2.04
nll_beta,0,7F9K,0.321667
nll_beta,0,7F9M,0.8
nll_beta,0,7FHR,2.061667
nll_beta,0,7JI4,0.541667
nll_beta,0,7JN9,0.448333
nll_beta,0,7K3J,1.053333
nll_beta,0,7KQ0,2.055
nll_beta,0,7LF4,1.123333
ml_noalpha,1,1A0F,1.631667
ml_noalpha,1,1A46,0.416667
ml_noalpha,1,1A4I,1.65
ml_noalpha,1,1A7V,0.446667
ml_noalpha,1,1AJ6,0.331667
ml_noalpha,1,1AK5,1.15
ml_noalpha,1,1ANU,0.343333
ml_noalpha,1,1APX,1.805
ml_noalpha,1,1AQZ,0.616667
ml_noalpha,1,1AT0,1.018333
ml_noalpha,1,1B9K,0.501667
ml_noalpha,1,1BIA,0.63
ml_noalpha,1,1BM7,0.405
ml_noalpha,1,1BQG,1.798333
ml_noalpha,1,1BX0,1.385
ml_noalpha,1,1BXE,1.015
ml_noalpha,1,1BYW,0.26
ml_noalpha,1,1C3F,1.158333
ml_noalpha,1,1CI0,1.433333
ml_noalpha,1,1CSM,1.106667
ml_noalpha,1,1DAW,0.893333
ml_noalpha,1,1DLM,1.265
ml_noalpha,1,1DQ3,0.78
ml_noalpha,1,1DQ8,5.033333
ml_noalpha,1,1e+79,12.445
ml_noalpha,1,1EJ1,1.201667
ml_noalpha,1,1EJH,2.98
ml_noalpha,1,1ETE,1.688333
ml_noalpha,1,1EZW,2.37
ml_noalpha,1,1F97,0.79
ml_noalpha,1,1FG3,0.643333
